to abandon,отказаться
to appreciate, ценить
approach, подход
appropriate,соответствующий
approval, одобрение
to approve, одобрить
approximately, примерно
April, Апрель
architect, архитектор
architecture, архитектура
area, область
to argue, спорить
argument, аргумент
to arise, возникнуть
arm, рука
armed, вооруженный
arms, оружие
army, армия
around, вокруг
to arrange, устроить
arrangement, договоренность
to arrest, арестовать
arrival, прибытие
to arrive, прибыть
art, искусство
article, статья
artificial, искусственный
artist, художник
artistic, художественный
as, как
ashamed, стыдящийся
to ask, спросить
asleep, спящий
aspect, аспект
to assess, оценить
assessment, оценка
assignment, назначение
to assist, чтобы помочь
assistant, помощник
to associate, ассоциировать
associated, связанный
association, ассоциация
to assume, предполагать
at, в
athlete, спортсмен
atmosphere, атмосфера
to attach, прикрепить
attack, атака
attempt, пытаться
to attend, присутствовать
attention, внимание
attitude, отношение
to attract, привлекать
attraction, притяжение
attractive, привлекательный
audience, аудитория
August, Август
aunt, тетя
author, автор
authority, власть
autumn, осень
available, доступный
average, средний
to avoid, избегать
award, награда
aware, осведомленный
away, прочь
awful, ужасный
baby, малыш
back, назад
background, фон
backwards, назад
bacteria, бактерии
bad, плохой
badly,плохо
bag, сумка
to bake, испечь
balance, баланс
ball, мяч
to ban, запретить
banana, банан
band, группа
bank (money), банк (деньги)
bank (river), берег (реки)
bar, бар
barrier, барьер
base, база
baseball, бейсбол
based, основанный на
basic, базовый
basically, по сути
basis, основа
basketball, баскетбол
bath, ванна
bathroom, ванная комната
battery, батарея
battle, боевой
to be, быть
beach, пляж
bean, фасоль
bear (deal with), медведь (иметь дело с)
bear (animal), медведь (животное)
to beat, бить
beautiful, красивый
beauty, красота
because, потому что
to become, стать
bed, кровать
bedroom, спальня
bee, пчела
beef, говядина
beer, пиво
before, до
to beg, умолять
to begin, начать
beginning, начало
to behave, вести себя
behaviour, поведение
behind, позади
being, существование
belief, вера
to believe, верить
bell, колокол
to belong, принадлежать
below, ниже
belt, пояс
to bend, сгибать
benefit, выгода
bent, согнутый
best, лучший
to bet, делать ставку
better, лучше
between, между
beyond, вне
bicycle, велосипед
big, большой
bike, велосипед
bill, счет
billion, миллиард
bin, мусорное ведро
biology, биология
bird, птица
birth, рождение
birthday, день рождения
biscuit, печенье
bit, кусочек
to bite, кусать
bitter, горький
black, черный
to blame, винить
blank, пустой
blind,слепой
block, блокировать
blog, блог
blonde, блондинка
blood, кровь
to blow, дуть
blue, синий
board, доска
boat, лодка
body, тело
to boil, кипятить
bomb, бомбить
bond, связь
bone, кость
book, книга
boot, ботинок
border, граница
bored, скучающий
boring, скучный
to born, родиться
to borrow, брать в долг
boss, босс
both, оба
to bother, беспокоить
bottle, бутылка
bottom, нижний
bowl, чаша
box, коробка
boy, мальчик
boyfriend, парень
brain, мозг
branch, ветвь
brand, бренд
brave, храбрый
bread, хлеб
to break, сломать
breakfast, завтрак
breast, грудь
breath, дыхание
to breathe, дышать
breathing, дыхание
bride, невеста
bridge, мост
brief, краткий
bright, яркий
brilliant, блестящий
to bring, принести
broad, широкий
to broadcast, транслировать
broken, сломанный
brother, брат
brown, коричневый
to brush, чистить
bubble, пузырь
budget, бюджет
to build, строить
building, здание
bullet, пуля
bunch, связка
to burn, сжечь
to bury, хоронить
bus, автобус
bush, куст
business, бизнес
businessman, бизнесмен
busy, занятый
but, но
butter, масло
button, кнопка
to buy, купить
by, к
bye, пока
cable, кабель
cafe, кафе
cake, торт
to calculate, для расчета
to call, позвонить
calm, спокойствие
camera, камера
camp, лагерь
campaign,кампания
camping, кемпинг
campus, кампус
can, может
to cancel, отменить
cancer, рак
candidate, кандидат
to cannot, не может
cap, колпачок
capable, способный
capacity, емкость
capital, капитал
captain, капитан
to capture, захватить
car, машина
card, карта
care, заботиться
career, карьера
careful, осторожный
carefully, осторожно
careless, беспечный
carpet, ковер
carrot, морковь
to carry, нести
cartoon, мультфильм
case, случай
cash, наличные
cast, бросать
castle, замок
cat, кот
to catch, поймать
category, категория
cause, причина
CD, компакт-диск
ceiling, потолок
to celebrate, праздновать
celebration, празднование
celebrity, знаменитость
cell, клетка
cent, цент
central, центральный
centre, центр
century, век
ceremony, церемония
certain, определенный
certainly, конечно
chain, цепь
chair, стул
chairman, председатель
challenge, испытание
champion, чемпион
chance, шанс
to change, изменить
channel, канал
chapter, глава
character, характер
characteristic, характеристика
charge, заряжать
charity, благотворительность
chart, диаграмма
to chat, поболтать
cheap, дешевый
to cheat, обманывать
to check, проверить
cheerful, жизнерадостный
cheese, сыр
chef, шеф-повар
chemical, химический
chemistry, химия
chest, грудь
chicken, курица
chief, главный
child, ребенок
childhood, детство
chip, чип
chocolate,шоколад
choice, выбор
to choose, выбирать
church, церковь
cigarette, сигарета
cinema, кино
circle, круг
circumstance, обстоятельство
to cite, цитировать
citizen, гражданин
city, город
civil, гражданский
to claim, требовать
class, сорт
classic, классический
classical, классический
classroom, класс
clause, пункт
clean, чистый
clear, прозрачный
clearly, четко
clever, умный
to click, нажать
client, клиент
climate, климат
to climb, подняться
clock, часы
to close1, закрыть1
close, закрывать
closed, закрыто
closely, тесно
cloth, ткань
clothes, одежда
clothing, одежда
cloud, облако
club, клуб
clue, зацепка
coach, тренер
coal, уголь
coast, побережье
coat, пальто
code, код
coffee, кофе
coin, монета
cold, холодный
to collapse, рухнуть
colleague, коллега
to collect, собирать
collection, коллекция
college, колледж
colour, цвет
coloured, цветной
column, столбец
combination, сочетание
to combine, объединить
to come, приехать
comedy, комедия
comfort, комфорт
comfortable, комфортный
command, команда
comment, комментарий
commercial, коммерческий
commission, комиссия
to commit, совершать
commitment, обязательство
committee, комитет
common, общий
commonly, обычно
to communicate, общаться
communication, коммуникация
community, сообщество
company, компания
to compare,для сравнения
comparison, сравнение
to compete, конкурировать
competition, соревнование
competitive, конкурентоспособный
competitor, конкурент
to complain, жаловаться
complaint, жалоба
complete, полный
completely, полностью
complex, сложный
complicated, сложный
component, компонент
computer, компьютер
to concentrate, концентрироваться
concentration, концентрация
concept, концепция
concern, беспокойство
concerned, обеспокоенный
concert, концерт
to conclude, заключить
conclusion, заключение
condition, состояние
to conduct, проводить
conference, конференция
confidence, уверенность
confident, уверенный
to confirm, подтвердить
conflict, конфликт
to confuse, запутать
confused, смущенный
confusing, запутанный
to connect, для подключения
connected, подключен
connection, связь
conscious, сознательный
consequence, последствие
conservative, консервативный
to consider, рассмотреть
consideration, рассмотрение
to consist, состоять
consistent, последовательный
constant, постоянный
constantly, постоянно
to construct, построить
construction, строительство
to consume, потреблять
consumer, потребитель
contact, контакт
to contain, содержать
container, контейнер
contemporary, современный
content, содержание
contest, конкурс
context, контекст
continent, континент
to continue, продолжить
continuous, непрерывный
contract, договор
contrast, контраст
to contribute, внести свой вклад
contribution,вклад
control, контроль
convenient, удобный
conversation, беседа
to convert, преобразовать
to convince, убедить
convinced, убежденный
to cook, готовить
cooker, плита
cooking, приготовление пищи
cool, прохладный
copy, копия
core, основной
corner, угол
corporate, корпоративный
correct, правильный
correctly, правильно
cost, расходы
costume, костюм
cottage, коттедж
cotton, хлопок
could, мог
council, совет
to count, рассчитывать
country, страна
countryside, сельская местность
county, графство
couple, пара
courage, храбрость
course, курс
court, суд
cousin, двоюродный брат
to cover, покрывать
covered, покрытый
cow, корова
crash, крушение
crazy, сумасшедший
cream, крем
to create, создать
creation, создание
creative, творческий
creature, существо
credit, кредит
crew, экипаж
crime, преступление
criminal, преступник
crisis, кризис
criterion, критерий
critic, критик
critical, критический
criticism, критика
to criticize, критиковать
crop, обрезать
to cross, пересечь
crowd, толпа
crowded, переполненный
crucial, ключевой
cruel, жестокий
to cry, плакать
cultural, культурный
culture, культура
cup, чашка
cupboard, буфет
to cure, вылечить
curly, кудрявый
currency, валюта
current, текущий
currently, в настоящее время
curtain, занавес
curve, изгиб
curved, изогнутый
custom, обычай
customer, клиент
to cut,резать
cycle, цикл
dad, папа
daily, ежедневно
damage, повреждать
dance, танец
dancer, танцор
dancing, танцы
danger, Опасность
dangerous, опасный
dark, темный
data, данные
date, дата
daughter, дочь
day, день
dead, мертвый
to deal, иметь дело
dear, дорогой
death, смерть
debate, дебаты
debt, долг
decade, десятилетие
December, декабрь
decent, приличный
to decide, решать
decision, решение
to declare, объявить
to decline, отказаться
to decorate, украшать
decoration, украшение
to decrease, уменьшить
deep, глубокий
deeply, глубоко
to defeat, победить
defence, защита
to defend, защищать
to define, определить
definite, определенный
definitely, определенно
definition, определение
degree, степень
to delay, задерживать
deliberate, преднамеренный
deliberately, умышленно
delicious, вкусный
to delight, радовать
delighted, получивший удовольствие
to deliver, доставить
delivery, доставка
demand, требовать
to demonstrate, продемонстрировать
dentist, стоматолог
to deny, отрицать
department, отделение
departure, отправление
to depend, зависеть
depressed, подавленный
depressing, удручающий
depth, глубина
to describe, описывать
description, описание
desert, пустыня
to deserve, заслужить
design, дизайн
designer, дизайнер
desire, желание
desk, рабочий стол
desperate, отчаянный
despite, несмотря на
destination, место назначения
to destroy,уничтожить
detail, деталь
detailed, подробный
to detect, обнаружить
detective, детектив
to determine, определить
determined, определенный
to develop, развивать
development, разработка
device, устройство
diagram, диаграмма
dialogue, диалог
diamond, алмаз
diary, дневник
dictionary, словарь
to die, умереть
diet, диета
difference, разница
different, другой
differently, по-разному
difficult, трудный
difficulty, трудность
to dig, копать
digital, цифровой
dinner, ужин
direct, прямой
direction, направление
directly, напрямую
director, директор
dirt, грязь
dirty, грязный
disadvantage, недостаток
to disagree, не соглашаться
to disappear, исчезнуть
disappointed, расстроенный
disappointing, разочаровывающий
disaster, катастрофа
disc, диск
discipline, дисциплина
discount, скидка
to discover, обнаружить
discovery, открытие
to discuss, обсудить
discussion, обсуждение
disease, болезнь
dish, блюдо
dishonest, нечестный
to dislike, не любить
to dismiss, уволить
to display, для отображения
distance, расстояние
to distribute, распространять
distribution, распределение
district, округ
to divide, делить
division, разделение
divorced, в разводе
to do1, делать1
doctor, доктор
document, документ
documentary, документальный фильм
dog, собака
dollar, доллар
domestic, одомашненный
to dominate, доминировать
to donate, пожертвовать
door,дверь
double, двойной
doubt, сомневаться
down, вниз
to download, скачать
downstairs, внизу
downwards, вниз
dozen, дюжина
draft, черновик
to drag, тащить
drama, драма
dramatic, драматический
to draw, рисовать
drawing, рисунок
dream, мечтать
dress, одеваться
dressed, одетый
drink, напиток
to drive, водить
driver, водитель
driving, вождение
to drop, падать
drug, лекарство
drum, барабан
drunk, пьяный
dry, сухой
due, должный
during, в течение
dust, пыль
duty, долг
DVD, ДВД
each, каждый
ear, ухо
early, рано
to earn, заработать
earth, земля
earthquake, землетрясение
easily, легко
east, восток
eastern, восточный
easy, легкий
to eat, есть
economic, экономический
economy, экономика
edge, край
to edit, редактировать
edition, версия
editor, редактор
to educate, обучать
educated, образованный
education, образование
educational, образовательный
effect, эффект
effective, эффективный
effectively, эффективно
efficient, эффективный
effort, усилие
egg, яйцо
eight, восемь
eighteen, восемнадцать
eighty, восемьдесят
either, или
elderly, пожилые люди
to elect, избирать
election, выборы
electric, электрический
electrical, электрический
electricity, электричество
electronic, электронный
element, элемент
elephant, слон
eleven, одиннадцать
else, еще
elsewhere, в другом месте
email, электронная почта
embarrassed, смущенный
embarrassing,смущающий
to emerge, появляться
emergency, чрезвычайная ситуация
emotion, эмоция
emotional, эмоциональный
emphasis, акцент
to emphasize, подчеркнуть
to employ, нанимать на работу
employee, сотрудник
employer, работодатель
employment, работа
empty, пустой
to enable, чтобы включить
to encounter, столкнуться
to encourage, поощрять
end, конец
ending, окончание
enemy, враг
energy, энергия
to engage, заниматься
engaged, помолвлен
engine, двигатель
engineer, инженер
engineering, инжиниринг
to enhance, для улучшения
to enjoy, наслаждаться
enormous, громадный
enough, достаточно
enquiry, расследование
to ensure, чтобы гарантировать
to enter, войти
to entertain, развлекать
entertainment, развлечение
enthusiasm, энтузиазм
enthusiastic, восторженный
entire, весь
entirely, полностью
entrance, вход
entry, вход
environment, среда
environmental, относящийся к окружающей среде
episode, эпизод
equal, равный
equally, одинаково
equipment, оборудование
error, ошибка
to escape, бежать
especially, особенно
essay, эссе
essential, существенный
to establish, установить
estate, имущество
to estimate, оценить
ethical, этический
euro, евро
to evaluate, оценить
even, даже
evening, вечер
event, событие
eventually, в конце концов
ever, всегда
every, каждый
everybody, все
everyday, каждый день
everyone, каждый
everything, все
everywhere, повсюду
evidence,доказательство
evil, зло
exact, точный
exactly, точно
exam, экзамен
examination, экспертиза
to examine, осмотреть
example, пример
excellent, отличный
except, кроме
exchange, обмен
excited, взволнованный
excitement, возбуждение
exciting, захватывающий
excuse, извинение
executive, исполнительный
exercise, упражнение
exhibition, выставка
to exist, существовать
existence, существование
to expand, расширять
to expect, ожидать
expectation, ожидание
expected, ожидал
expedition, экспедиция
expense, расходы
expensive, дорогой
experience, опыт
experienced, опытный
experiment, эксперимент
expert, эксперт
to explain, объяснить
explanation, объяснение
to explode, взорваться
exploration, разведка
to explore, исследовать
explosion, взрыв
export, экспорт
to expose, выставлять напоказ
to express, выражать
expression, выражение
to extend, продлить
extent, степень
external, внешний
extra, дополнительный
extraordinary, необычайный
extreme, экстремальный
extremely, очень сильно
eye, глаз
face, лицо
facility, средство
fact, факт
factor, фактор
factory, фабрика
to fail, потерпеть неудачу
failure, отказ
fair, справедливый
fairly, весьма
faith, вера
to fall, падать
FALSE,FALSE
familiar, привычный
family, семья
famous, известный
fan, вентилятор
to fancy, придумывать
fantastic, фантастический
far, далеко
farm, ферма
farmer, фермер
farming, сельское хозяйство
fascinating,очаровательный
fashion, мода
fashionable, модный
fast, быстрый
to fasten, закрепить
fat, толстый
father, отец
fault, вина
favour, услуга
favourite, любимый
fear, страх
feather, перо
feature, особенность
February, февраль
fee, платеж
to feed, кормить
feedback, обратная связь
to feel, чувствовать
feeling, чувство
fellow, парень
female, женский
fence, изгородь
festival, фестиваль
few, немного
fiction, вымысел
field, поле
fifteen, пятнадцать
fifth, пятый
fifty, пятьдесят
to fight, бороться
fighting, борьба
figure, фигура
file, файл
to fill, заполнить
film, фильм
final, финал
finally, окончательно
finance, финансы
financial, финансовый
to find, найти
finding, находка
fine, отлично
finger, палец
to finish, закончить
fire, огонь
firm, твердый
first, первый
firstly, во-первых
fish, рыба
fishing, рыбалка
to fit, чтобы соответствовать
fitness, фитнес
five, пять
to fix, исправить
fixed, зафиксированный
flag, флаг
flame, пламя
flash, вспышка
flat, плоский
flexible, гибкий
flight, полет
to float, плавать
flood, наводнение
floor, пол
flour, мука
to flow, течь
flower, цветок
flu, грипп
to fly, летать
flying, летающий
to focus, сосредоточиться
to fold, складывать
folding, складной
folk, народный
to follow, следовать
following, следующий
food, еда
foot, ступня
football,футбол
for, для
force, сила
foreign, иностранный
forest, лес
forever, навсегда
to forget, забыть
to forgive, прощать
fork, вилка
form, форма
formal, формальный
former, бывший
fortunately, к счастью
fortune, удача
forty, сорок
forward, вперед
to found, найти
four, четыре
fourteen, четырнадцать
fourth, четвертый
frame, рамка
free, бесплатно
freedom, свобода
to freeze, заморозить
frequency, частота
frequently, часто
fresh, свежий
Friday, Пятница
fridge, холодильник
friend, друг
friendly, дружелюбно
friendship, дружба
to frighten, пугать
frightened, испуганный
frightening, пугающий
frog, лягушка
from, от
front, передний
frozen, замороженный
fruit, фрукты
to fry, жарить
fuel, топливо
full, полный
fully, полностью
fun, веселье
function, функция
fund, фонд
fundamental, фундаментальный
funding, финансирование
funny, забавный
fur, шерсть
furniture, мебель
further, дальше
furthermore, более того
future, будущее
to gain, получить
gallery, галерея
game, игра
gang, банда
gap, зазор
garage, гараж
garden, сад
gas, газ
gate, ворота
to gather, собирать
general, общий
generally, в целом
to generate, генерировать
generation, поколение
generous, щедрый
genre, жанр
gentle, нежный
gentleman, джентльмен
geography, география
to get, получить
ghost,призрак
giant, гигант
gift, подарок
girl, девочка
girlfriend, подруга
to give, дать
glad, радостный
glass, стекло
global, глобальный
glove, перчатка
to go, идти
goal, цель
god, бог
gold, золото
golf, гольф
good, хороший
goodbye, до свидания
goods, товары
to govern, управлять
government, правительство
to grab, схватить
grade, оценка
gradually, постепенно
graduate, выпускник
grain, зерно
grand, большой
grandfather, дедушка
grandmother, бабушка
grandparent, дедушка и бабушка
to grant, предоставить
grass, трава
grateful, благодарный
great, большой
green, зеленый
to greet, приветствовать
grey, серый
ground, земля
group, группа
to grow, расти
growth, рост
to guarantee, гарантировать
guard, сторожить
to guess, угадать
guest, гость
guide, гид
guilty, виновный
guitar, гитара
gun, пистолет
guy, парень
gym, спортзал
habit, привычка
hair, волосы
half, половина
hall, зал
hand, рука
to handle, обращаться
to hang, повесить
to happen, произойти
happily, счастливо
happiness, счастье
happy, счастливый
hard, жесткий
hardly, едва ли
harm, вред
harmful, вредный
hat, шляпа
to hate, ненавидеть
to have, иметь
have to, придется
he, он
head, голова
headache, головная боль
headline, заголовок
health, здоровье
healthy, здоровый
to hear, услышать
hearing, слушание
heart, сердце
heat, нагревать
heating,обогрев
heaven, небеса
heavily, тяжело
heavy, тяжелый
heel, каблук
height, высота
helicopter, вертолет
hell, ад
hello, привет
to help, чтобы помочь
helpful, полезный
her, ее
here, здесь
hero, герой
hers, ее
herself, себя
to hesitate, колебаться
hey, привет
hi, привет
to hide, скрыть
high, высокий
to highlight, выделить
highly, высоко
hill, холм
him, ему
himself, сам
to hire, нанимать
his, его
historic, исторический
historical, исторический
history, история
to hit, ударить
hobby, хобби
hockey, хоккей
to hold, держать
hole, дыра
holiday, праздничный день
hollow, пустой
holy, святой
home, дом
homework, домашнее задание
honest, честный
honour, честь
to hope, надеяться
horrible, ужасный
horror, ужас
horse, лошадь
hospital, больница
host, хозяин
hot, горячий
hotel, отель
hour, час
house, дом
household, семья
housing, жилье
how, как
however, однако
huge, огромный
human, человек
humorous, юмористический
humour, юмор
hundred, сто
hungry, голодный
to hunt, охотиться
hunting, охота
hurricane, ураган
hurry, торопиться
to hurt, причинять боль
husband, муж
I, я
ice, лед
ice cream, мороженое
idea, идея
ideal, идеальный
to identify, идентифицировать
identity, личность
if, если
to ignore, игнорировать
ill, больной
illegal,незаконный
illness, болезнь
to illustrate, проиллюстрировать
illustration, иллюстрация
image, изображение
imaginary, воображаемый
imagination, воображение
to imagine, представить
immediate, немедленный
immediately, немедленно
immigrant, иммигрант
impact, влияние
impatient, нетерпеливый
to imply, подразумевать
import, импорт
importance, важность
important, важный
to impose, навязывать
impossible, невозможный
to impress, произвести впечатление
impressed, впечатленный
impression, впечатление
impressive, впечатляющий
to improve, улучшить
improvement, улучшение
in, в
inch, дюйм
incident, инцидент
to include, включить
included, включено
including, включая
income, доход
to increase, увеличить
increasingly, все больше и больше
incredible, невероятный
incredibly, невероятно
indeed, действительно
independent, независимый
to indicate, чтобы указать
indirect, косвенный
individual, индивидуальный
indoor, в помещении
indoors, в помещении
industrial, промышленный
industry, промышленность
infection, инфекция
influence, влияние
to inform, информировать
informal, неофициальный
information, информация
ingredient, ингредиент
initial, исходный
initially, изначально
initiative, инициатива
to injure, ранить
injured, раненый
injury, рана
inner, внутренний
innocent, невиновный
insect, насекомое
inside, внутри
insight, понимание
to insist, настаивать
to inspire, вдохновлять
to install, установить
instance,пример
instead, вместо
institute, институт
institution, учреждение
instruction, инструкция
instructor, инструктор
instrument, инструмент
insurance, страхование
intelligence, интеллект
intelligent, разумный
to intend, намереваться
intended, намеревался
intense, интенсивный
intention, намерение
interest, интерес
interested, заинтересованный
interesting, интересный
internal, внутренний
international, международный
internet, интернет
to interpret, интерпретировать
to interrupt, прерывать
interview, интервью
into, в
to introduce, представить
introduction, введение
to invent, изобретать
invention, изобретение
to invest, инвестировать
to investigate, расследовать
investigation, расследование
investment, инвестиции
invitation, приглашение
to invite, пригласить
to involve, вовлекать
involved, вовлеченный
iron, железо
island, остров
issue, проблема
IT, ЭТО
it, это
item, элемент
its, его
itself, сам по себе
jacket, куртка
jam, варенье
January, январь
jazz, джаз
jeans, джинсы
jewellery, ювелирные изделия
job, работа
to join, присоединиться
joke, шутить
journal, журнал
journalist, журналист
journey, путешествие
joy, радость
judge, судить
judgement, суждение
juice, сок
July, Июль
to jump, прыгать
June, Июнь
junior, младший
just, только
justice, справедливость
to justify, чтобы оправдать
keen, увлеченный
to keep, держать
key, ключ
keyboard,клавиатура
to kick, пинать
kid, ребенок
to kill, убить
killing, убийство
kilometre, километр
kind (type), вид (тип)
kind (caring), добрый (заботливый)
king, король
to kiss, целовать
kitchen, кухня
knee, колено
knife, нож
to knock, стучать
to know, знать
knowledge, знание
lab, лаборатория
label, этикетка
laboratory, лаборатория
labour, труд
lack, недостаток
lady, леди
lake, озеро
lamp, лампа
land, земля
landscape, пейзаж
language, язык
laptop, ноутбук
large, большой
largely, в значительной степени
last1 (final), последний1 (финальный)
last1 (taking time), последний1 (требует времени)
late, поздно
later, позже
latest, последний
to laugh, смеяться
laughter, смех
to launch, для запуска
law, закон
lawyer, адвокат
to lay, класть
layer, слой
lazy, ленивый
to lead1, вести1
leader, лидер
leadership, лидерство
leading, ведущий
leaf, лист
league, лига
to lean, наклоняться
to learn, учиться
learning, обучение
least, наименее
leather, кожа
to leave, оставить
lecture, лекция
left, левый
leg, нога
legal, юридический
leisure, досуг
lemon, лимон
to lend, одолжить
length, длина
less, меньше
lesson, урок
to let, позволить
letter, письмо
level, уровень
library, библиотека
licence, лицензия
to lie1, лгать1
lie2 (tell a lie), ложь2 (сказать неправду)
life, жизнь
lifestyle, образ жизни
to lift, поднять
light (from the sun/a lamp),свет (от солнца/лампы)
light (not heavy), легкий (не тяжелый)
like (similar), как (похожий)
like (find sb/sth pleasant), нравится (находить кого-либо/что-либо приятным)
likely, вероятный
limit, предел
limited, ограниченный
line, линия
link, связь
lion, лев
lip, губа
liquid, жидкость
list, список
to listen, слушать
listener, слушатель
literature, литература
little, маленький
to live1, жить1
live, жить
lively, живой
living, жизнь
load, нагрузка
loan, заем
local, местный
to locate, найти
located, расположен
location, расположение
to lock, запереть
logical, логичный
lonely, одинокий
long, длинный
long-term, долгосрочный
to look, смотреть
loose, свободный
lord, господин
lorry, грузовик
to lose, потерять
loss, потеря
lost, потерянный
lot, много
loud, громкий
loudly, громко
love, любовь
lovely, прекрасный
low, низкий
to lower, понизить
luck, удача
lucky, удачливый
lunch, обед
lung, легкое
luxury, роскошь
machine, машина
mad, безумный
magazine, журнал
magic, магия
mail, почта
main, основной
mainly, в основном
to maintain, поддерживать
major, главный
majority, большинство
to make, сделать
male, мужской
mall, торговый центр
man, мужчина
to manage, управлять
management, управление
manager, менеджер
manner, манера
many, много
map, карта
March, Маршировать
to mark, отмечать
market, рынок
marketing, маркетинг
marriage,свадьба
married, женатый
to marry, жениться
mass, масса
massive, массивный
master, владелец
match (contest/correspond), матч (состязание/переписка)
matching, соответствие
material, материал
mathematics, математика
maths, математика
matter, иметь значение
maximum, максимум
May, Может
may, может
maybe, может быть
me, мне
meal, еда
to mean, иметь в виду
meaning, значение
means, означает
meanwhile, тем временем
to measure, измерять
measurement, измерение
meat, мясо
media, СМИ
medical, медицинский
medicine, лекарство
medium, середина
to meet, встретиться
meeting, встреча
to melt, таять
member, член
memory, память
mental, умственный
to mention, упомянуть
menu, меню
mess, беспорядок
message, сообщение
metal, металл
method, метод
metre, метр
middle, середина
midnight, полночь
might, мощь
mild, мягкий
mile, миля
military, военный
milk, молоко
million, миллион
mind, разум
mine (belongs to me), мой (принадлежит мне)
mine (hole in the ground), шахта (дыра в земле)
mineral, минерал
minimum, минимум
minister, министр
minor, незначительный
minority, меньшинство
minute, минута
mirror, зеркало
to miss, скучать
missing, отсутствующий
mission, миссия
mistake, ошибка
to mix, смешивать
mixed, смешанный
mixture, смесь
mobile, мобильный
model, модель
modern, современный
to modify, изменить
moment, момент
Monday, Понедельник
money,деньги
monitor, монитор
monkey, обезьяна
month, месяц
mood, настроение
moon, луна
moral, моральный
more, более
morning, утро
most, большинство
mostly, по большей части
mother, мать
motor, мотор
motorcycle, мотоцикл
to mount, монтировать
mountain, гора
mouse, мышь
mouth, рот
to move, двигаться
movement, движение
movie, фильм
much, много
mud, грязь
multiple, несколько
to multiply, умножать
mum, мама
murder, убийство
muscle, мышца
museum, музей
music, музыка
musical, музыкальный
musician, музыкант
must, должен
my, мой
myself, сам
mysterious, таинственный
mystery, тайна
nail, ноготь
name, имя
narrative, повествование
narrow, узкий
nation, нация
national, национальный
native, родной
natural, естественный
naturally, естественно
nature, природа
near, около
nearly, около
neat, аккуратный
necessarily, обязательно
necessary, необходимый
neck, шея
to need, нуждаться
needle, иголка
negative, отрицательный
neighbour, сосед
neighbourhood, район
neither, ни один
nerve, нерв
nervous, нервный
net, сеть
network, сеть
never, никогда
nevertheless, тем не менее
new, новый
news, новости
newspaper, газета
next, следующий
next to, рядом с
nice, хороший
night, ночь
nightmare, кошмар
nine, девять
nineteen, девятнадцать
ninety, девяносто
no, нет
no one, никто
nobody,никто
noise, шум
noisy, шумный
none, никто
nor, ни
normal, нормальный
normally, обычно
north, север
northern, северный
nose, нос
not, нет
note, примечание
nothing, ничего
to notice, заметить
notion, понятие
novel, роман
November, ноябрь
now, сейчас
nowhere, нигде
nuclear, ядерный
numerous, многочисленные
nurse, медсестра
nut, орех
to obey, подчиняться
object, объект
objective, цель
obligation, обязательство
observation, наблюдение
to observe, наблюдать
to obtain, чтобы получить
obvious, очевидный
obviously, очевидно
occasion, случай
occasionally, изредка
to occur, произойти
ocean, океан
o’clock, час
October, октябрь
odd, странный
of, из
off, выключенный
offence, правонарушение
to offend, оскорблять
offensive, оскорбительный
to offer, предложить
office, офис
officer, офицер
official, официальный
often, часто
oh, ой
oil, масло
OK, ХОРОШО
old, старый
