abandon,покидать
approve, утвердить
approximately, примерно
April, Апрель
architect, архитектор
architecture, архитектура
area,область
argue, спорить
argument, аргумент
arise, возникают
arm, рука
armed, вооруженный
arms, оружие
army, армия
around, вокруг
arrange, договариваться
arrangement, договоренность
arrest, арестовать
arrival, прибытие
arrive, приезжать
art, искусство
article, статья
artificial, искусственный
artist, художник
artistic, художественный
as, как
ashamed, стыдящийся
ask, просить
asleep, спящий
aspect, аспект
assess, оценивать
assessment, оценка
assignment, назначение
assist, помогать
assistant, помощник
associate, ассоциированный
associated, связанный
association, ассоциация
assume, предполагать
at, в
athlete, спортсмен
atmosphere, атмосфера
attach, прикреплять
attack, атака
attempt, пытаться
attend, посещать
attention, внимание
attitude, отношение
attract, привлекать
attraction, притяжение
attractive, привлекательный
audience, аудитория
August, Август
aunt, тетя
author, автор
authority, власть
autumn, осень
available, доступный
average, средний
avoid, избегать
award, награда
aware, осведомленный
away, прочь
awful, ужасный
baby, малыш
back, назад
background, фон
backwards, назад
bacteria, бактерии
bad, плохой
badly, плохо
bag, сумка
bake, выпекать
balance, баланс
ball, мяч
ban, запретить
banana, банан
band, группа
bank, банк
bank, банк
bar, бар
barrier, барьер
base, база
baseball, бейсбол
based,основанный на
basic, базовый
basically, по сути
basis, основа
basketball, баскетбол
bath, ванна
bathroom, ванная комната
battery, батарея
battle, боевой
be, быть
beach, пляж
bean, фасоль
bear, медведь
bear, медведь
beat, бить
beautiful, красивый
beauty, красота
because, потому что
become, становиться
bed, кровать
bedroom, спальня
bee, пчела
beef, говядина
beer, пиво
before, до
beg, умолять
begin, начинать
beginning, начало
behave, вести себя
behaviour, поведение
behind, позади
being, существование
belief, вера
believe, полагать
bell, колокол
belong, принадлежать
below, ниже
belt, пояс
bend, сгибать
benefit, выгода
bent, согнутый
best, лучший
bet, ставка
better, лучше
between, между
beyond, вне
bicycle, велосипед
big, большой
bike, велосипед
bill, счет
billion, миллиард
bin, мусорное ведро
biology, биология
bird, птица
birth, рождение
birthday, день рождения
biscuit, печенье
bit, кусочек
bite, кусать
bitter, горький
black, черный
blame, обвинять
blank, пустой
blind, слепой
block, блокировать
blog, блог
blonde, блондинка
blood, кровь
blow, дуть
blue, синий
board, доска
boat, лодка
body, тело
boil, кипятить
bomb, бомбить
bond, связь
bone, кость
book, книга
boot, ботинок
border, граница
bored, скучающий
boring, скучный
born, рожденный
borrow, занимать
boss, босс
both,оба
bother, беспокоить
bottle, бутылка
bottom, нижний
bowl, чаша
box, коробка
boy, мальчик
boyfriend, парень
brain, мозг
branch, ветвь
brand, бренд
brave, храбрый
bread, хлеб
break, перерыв
breakfast, завтрак
breast, грудь
breath, дыхание
breathe, дышать
breathing, дыхание
bride, невеста
bridge, мост
brief, краткий
bright, яркий
brilliant, блестящий
bring, приносить
broad, широкий
broadcast, транслировать
broken, сломанный
brother, брат
brown, коричневый
brush, щетка
bubble, пузырь
budget, бюджет
build, строить
building, здание
bullet, пуля
bunch, связка
burn, гореть
bury, хоронить
bus, автобус
bush, куст
business, бизнес
businessman, бизнесмен
busy, занятый
but, но
butter, масло
button, кнопка
buy, купить
by, к
bye, пока
cable, кабель
cafe, кафе
cake, торт
calculate, вычислить
call, вызов
calm, спокойствие
camera, камера
camp, лагерь
campaign, кампания
camping, кемпинг
campus, кампус
can, может
can, может
cancel, отмена
cancer, рак
candidate, кандидат
cannot, не может
cap, колпачок
capable, способный
capacity, емкость
capital, капитал
captain, капитан
capture, захватывать
car, машина
card, карта
care, заботиться
career, карьера
careful, осторожный
carefully, осторожно
careless, беспечный
carpet, ковер
carrot, морковь
carry,нести
cartoon, мультфильм
case, случай
cash, наличные
cast, бросать
castle, замок
cat, кот
catch, ловить
category, категория
cause, причина
CD, компакт-диск
ceiling, потолок
celebrate, праздновать
celebration, празднование
celebrity, знаменитость
cell, клетка
cent, цент
central, центральный
centre, центр
century, век
ceremony, церемония
certain, определенный
certainly, конечно
chain, цепь
chair, стул
chairman, председатель
challenge, испытание
champion, чемпион
chance, шанс
change, изменять
channel, канал
chapter, глава
character, характер
characteristic, характеристика
charge, заряжать
charity, благотворительность
chart, диаграмма
chat, чат
cheap, дешевый
cheat, изменять
check, проверять
cheerful, жизнерадостный
cheese, сыр
chef, шеф-повар
chemical, химический
chemistry, химия
chest, грудь
chicken, курица
chief, главный
child, ребенок
childhood, детство
chip, чип
chocolate, шоколад
choice, выбор
choose, выбирать
church, церковь
cigarette, сигарета
cinema, кино
circle, круг
circumstance, обстоятельство
cite, цитировать
citizen, гражданин
city, город
civil, гражданский
claim, требовать
class, сорт
classic, классический
classical, классический
classroom, класс
clause, пункт
clean, чистый
clear, прозрачный
clearly, четко
clever, умный
click, нажмите
client, клиент
climate,климат
climb, взбираться
clock, часы
close, закрывать
close, закрывать
closed, закрыто
closely, тесно
cloth, ткань
clothes, одежда
clothing, одежда
cloud, облако
club, клуб
clue, зацепка
coach, тренер
coal, уголь
coast, побережье
coat, пальто
code, код
coffee, кофе
coin, монета
cold, холодный
collapse, крах
colleague, коллега
collect, собирать
collection, коллекция
college, колледж
colour, цвет
coloured, цветной
column, столбец
combination, сочетание
combine, объединить
come, приходить
comedy, комедия
comfort, комфорт
comfortable, комфортный
command, команда
comment, комментарий
commercial, коммерческий
commission, комиссия
commit, совершить
commitment, обязательство
committee, комитет
common, общий
commonly, обычно
communicate, общаться
communication, коммуникация
community, сообщество
company, компания
compare, сравнивать
comparison, сравнение
compete, конкурировать
competition, соревнование
competitive, конкурентоспособный
competitor, конкурент
complain, жаловаться
complaint, жалоба
complete, полный
completely, полностью
complex, сложный
complicated, сложный
component, компонент
computer, компьютер
concentrate, концентрат
concentration, концентрация
concept, концепция
concern, беспокойство
concerned, обеспокоенный
concert, концерт
conclude, заключить
conclusion, заключение
condition, состояние
conduct,руководить
conference, конференция
confidence, уверенность
confident, уверенный
confirm, подтверждать
conflict, конфликт
confuse, запутать
confused, смущенный
confusing, запутанный
connect, соединять
connected, подключен
connection, связь
conscious, сознательный
consequence, последствие
conservative, консервативный
consider, учитывать
consideration, рассмотрение
consist, состоять
consistent, последовательный
constant, постоянный
constantly, постоянно
construct, построить
construction, строительство
consume, потреблять
consumer, потребитель
contact, контакт
contain, содержать
container, контейнер
contemporary, современный
content, содержание
contest, конкурс
context, контекст
continent, континент
continue, продолжать
continuous, непрерывный
contract, договор
contrast, контраст
contribute, способствовать
contribution, вклад
control, контроль
convenient, удобный
conversation, беседа
convert, преобразовать
convince, убеждать
convinced, убежденный
cook, готовить
cooker, плита
cooking, приготовление пищи
cool, прохладный
copy, копия
core, основной
corner, угол
corporate, корпоративный
correct, правильный
correctly, правильно
cost, расходы
costume, костюм
cottage, коттедж
cotton, хлопок
could, мог
council, совет
count, считать
country, страна
countryside, сельская местность
county, графство
couple, пара
courage, храбрость
course, курс
court,суд
cousin, двоюродный брат
cover, крышка
covered, покрытый
cow, корова
crash, крушение
crazy, сумасшедший
cream, крем
create, создавать
creation, создание
creative, творческий
creature, существо
credit, кредит
crew, экипаж
crime, преступление
criminal, преступник
crisis, кризис
criterion, критерий
critic, критик
critical, критический
criticism, критика
criticize, критиковать
crop, обрезать
cross, крест
crowd, толпа
crowded, переполненный
crucial, ключевой
cruel, жестокий
cry, плакать
cultural, культурный
culture, культура
cup, чашка
cupboard, буфет
cure, излечивать
curly, кудрявый
currency, валюта
current, текущий
currently, в настоящее время
curtain, занавес
curve, изгиб
curved, изогнутый
custom, обычай
customer, клиент
cut, резать
cycle, цикл
dad, папа
daily, ежедневно
damage, повреждать
dance, танец
dancer, танцор
dancing, танцы
danger, Опасность
dangerous, опасный
dark, темный
data, данные
date, дата
daughter, дочь
day, день
dead, мертвый
deal, иметь дело
dear, дорогой
death, смерть
debate, дебаты
debt, долг
decade, десятилетие
December, декабрь
decent, приличный
decide, решать
decision, решение
declare, объявить
decline, отклонить
decorate, украшать
decoration, украшение
decrease, снижаться
deep, глубокий
deeply, глубоко
defeat, поражение
defence, защита
defend, защищать
define,определять
definite, определенный
definitely, определенно
definition, определение
degree, степень
delay, задерживать
deliberate, преднамеренный
deliberately, умышленно
delicious, вкусный
delight, восторг
delighted, получивший удовольствие
deliver, доставлять
delivery, доставка
demand, требовать
demonstrate, продемонстрировать
dentist, стоматолог
deny, отрицать
department, отделение
departure, отправление
depend, зависеть
depressed, подавленный
depressing, удручающий
depth, глубина
describe, описывать
description, описание
desert, пустыня
deserve, заслуживать
design, дизайн
designer, дизайнер
desire, желание
desk, рабочий стол
desperate, отчаянный
despite, несмотря на
destination, место назначения
destroy, разрушать
detail, деталь
detailed, подробный
detect, обнаружить
detective, детектив
determine, определять
determined, определенный
develop, развивать
development, разработка
device, устройство
diagram, диаграмма
dialogue, диалог
diamond, алмаз
diary, дневник
dictionary, словарь
die, умереть
diet, диета
difference, разница
different, другой
differently, по-разному
difficult, трудный
difficulty, трудность
dig, копать
digital, цифровой
dinner, ужин
direct, прямой
direction, направление
directly, напрямую
director, директор
dirt, грязь
dirty, грязный
disadvantage, недостаток
disagree, не согласен
disappear, пропадать
disappointed, расстроенный
disappointing,разочаровывающий
disaster, катастрофа
disc, диск
discipline, дисциплина
discount, скидка
discover, обнаружить
discovery, открытие
discuss, обсуждать
discussion, обсуждение
disease, болезнь
dish, блюдо
dishonest, нечестный
dislike, не нравится
dismiss, увольнять
display, отображать
distance, расстояние
distribute, распространять
distribution, распределение
district, округ
divide, разделять
division, разделение
divorced, в разводе
do, делать
doctor, доктор
document, документ
documentary, документальный фильм
dog, собака
dollar, доллар
domestic, одомашненный
dominate, доминировать
donate, пожертвовать
door, дверь
double, двойной
adv., нареч.
doubt, сомневаться
down, вниз
download, скачать
downstairs, внизу
downwards, вниз
dozen, дюжина
draft, черновик
drag, тащить
drama, драма
dramatic, драматический
draw, рисовать
drawing, рисунок
dream, мечтать
dress, одеваться
dressed, одетый
drink, напиток
drive, водить машину
driver, водитель
driving, вождение
drop, уронить
drug, лекарство
drum, барабан
drunk, пьяный
dry, сухой
due, должный
during, в течение
dust, пыль
duty, долг
DVD, ДВД
each, каждый
ear, ухо
early, рано
earn, зарабатывать
earth, земля
earthquake, землетрясение
easily, легко
east, восток
eastern, восточный
easy, легкий
eat, есть
economic, экономический
economy, экономика
edge, край
edit, редактировать
edition,версия
editor, редактор
educate, обучать
educated, образованный
education, образование
educational, образовательный
effect, эффект
effective, эффективный
effectively, эффективно
efficient, эффективный
effort, усилие
egg, яйцо
eight, восемь
eighteen, восемнадцать
eighty, восемьдесят
either, или
elderly, пожилые люди
elect, избрать
election, выборы
electric, электрический
electrical, электрический
electricity, электричество
electronic, электронный
element, элемент
elephant, слон
eleven, одиннадцать
else, еще
elsewhere, в другом месте
email, электронная почта
embarrassed, смущенный
embarrassing, смущающий
emerge, появляться
emergency, чрезвычайная ситуация
emotion, эмоция
emotional, эмоциональный
emphasis, акцент
emphasize, подчеркивать
employ, нанимать
employee, сотрудник
employer, работодатель
employment, работа
empty, пустой
enable, давать возможность
encounter, сталкиваться
encourage, поощрять
end, конец
ending, окончание
enemy, враг
energy, энергия
engage, привлекать
engaged, помолвлен
engine, двигатель
engineer, инженер
engineering, инжиниринг
enhance, усиливать
enjoy, наслаждаться
enormous, громадный
enough, достаточно
enquiry, расследование
ensure, гарантировать
enter, входить
entertain, развлекать
entertainment, развлечение
enthusiasm, энтузиазм
enthusiastic, восторженный
entire, весь
entirely, полностью
entrance, вход
entry, вход
environment, среда
environmental,относящийся к окружающей среде
episode, эпизод
equal, равный
equally, одинаково
equipment, оборудование
error, ошибка
escape, побег
especially, особенно
essay, эссе
essential, существенный
establish, учреждать
estate, имущество
estimate, оценивать
ethical, этический
euro, евро
evaluate, оценивать
even, даже
evening, вечер
event, событие
eventually, в конце концов
ever, всегда
every, каждый
everybody, все
everyday, каждый день
everyone, каждый
everything, все
everywhere, повсюду
evidence, доказательство
evil, зло
exact, точный
exactly, точно
exam, экзамен
examination, экспертиза
examine, исследовать
example, пример
excellent, отличный
except, кроме
exchange, обмен
excited, взволнованный
excitement, возбуждение
exciting, захватывающий
excuse, извинение
executive, исполнительный
exercise, упражнение
exhibition, выставка
exist, существовать
existence, существование
expand, расширять
expect, ожидать
expectation, ожидание
expected, ожидал
expedition, экспедиция
expense, расходы
expensive, дорогой
experience, опыт
experienced, опытный
experiment, эксперимент
expert, эксперт
explain, объяснять
explanation, объяснение
explode, взорваться
exploration, разведка
explore, исследовать
explosion, взрыв
export, экспорт
expose, разоблачать
express, выражать
expression, выражение
extend, продлевать
extent, степень
external,внешний
extra, дополнительный
extraordinary, необычайный
extreme, экстремальный
extremely, очень сильно
eye, глаз
face, лицо
facility, средство
fact, факт
factor, фактор
factory, фабрика
fail, неудача
failure, отказ
fair, справедливый
fairly, весьма
faith, вера
fall, падать
FALSE,FALSE
familiar, привычный
family, семья
famous, известный
fan, вентилятор
fancy, изысканный
fantastic, фантастический
far, далеко
farm, ферма
farmer, фермер
farming, сельское хозяйство
fascinating, очаровательный
fashion, мода
fashionable, модный
fast, быстрый
fasten, закрепить
fat, толстый
father, отец
fault, вина
favour, услуга
favourite, любимый
fear, страх
feather, перо
feature, особенность
February, февраль
fee, платеж
feed, кормить
feedback, обратная связь
feel, чувствовать
feeling, чувство
fellow, парень
female, женский
fence, изгородь
festival, фестиваль
few, немного
fiction, вымысел
field, поле
fifteen, пятнадцать
fifth, пятый
fifty, пятьдесят
fight, драться
fighting, борьба
figure, фигура
file, файл
fill, наполнять
film, фильм
final, финал
finally, окончательно
finance, финансы
financial, финансовый
find, находить
finding, находка
fine, отлично
finger, палец
finish, заканчивать
fire, огонь
firm, твердый
first, первый
firstly, во-первых
fish, рыба
fishing, рыбалка
fit, соответствовать
fitness, фитнес
five, пять
fix,исправить
fixed, зафиксированный
flag, флаг
flame, пламя
flash, вспышка
flat, плоский
flexible, гибкий
flight, полет
float, плавать
flood, наводнение
floor, пол
flour, мука
flow, поток
flower, цветок
flu, грипп
fly, летать
flying, летающий
focus, фокус
fold, складывать
folding, складной
folk, народный
follow, следовать
following, следующий
food, еда
foot, ступня
football, футбол
for, для
force, сила
foreign, иностранный
forest, лес
forever, навсегда
forget, забывать
forgive, простить
fork, вилка
form, форма
formal, формальный
former, бывший
fortunately, к счастью
fortune, удача
forty, сорок
forward, вперед
found, найденный
four, четыре
fourteen, четырнадцать
fourth, четвертый
frame, рамка
free, бесплатно
freedom, свобода
freeze, заморозить
frequency, частота
frequently, часто
fresh, свежий
Friday, Пятница
fridge, холодильник
friend, друг
friendly, дружелюбно
friendship, дружба
frighten, пугать
frightened, испуганный
frightening, пугающий
frog, лягушка
from, от
front, передний
frozen, замороженный
fruit, фрукты
fry, жарить
fuel, топливо
full, полный
fully, полностью
fun, веселье
function, функция
fund, фонд
fundamental, фундаментальный
funding, финансирование
funny, забавный
fur, шерсть
furniture, мебель
further, дальше
furthermore, более того
future,будущее
gain, прирост
gallery, галерея
game, игра
gang, банда
gap, зазор
garage, гараж
garden, сад
gas, газ
gate, ворота
gather, собирать
general, общий
generally, в целом
generate, генерировать
generation, поколение
generous, щедрый
genre, жанр
gentle, нежный
gentleman, джентльмен
geography, география
get, получать
ghost, призрак
giant, гигант
gift, подарок
girl, девочка
girlfriend, подруга
give, давать
glad, радостный
glass, стекло
global, глобальный
glove, перчатка
go, идти
goal, цель
god, бог
gold, золото
golf, гольф
good, хороший
goodbye, до свидания
goods, товары
govern, управлять
government, правительство
grab, схватить
grade, оценка
gradually, постепенно
graduate, выпускник
grain, зерно
grand, большой
grandfather, дедушка
grandmother, бабушка
grandparent, дедушка и бабушка
grant, грант
grass, трава
grateful, благодарный
great, большой
green, зеленый
greet, приветствовать
grey, серый
ground, земля
group, группа
grow, расти
growth, рост
guarantee, гарантия
guard, сторожить
guess, предполагать
guest, гость
guide, гид
guilty, виновный
guitar, гитара
gun, пистолет
guy, парень
gym, спортзал
habit, привычка
hair, волосы
half, половина
hall, зал
hand, рука
handle, ручка
hang, вешать
happen, случаться
happily, счастливо
happiness, счастье
happy,счастливый
hard, жесткий
hardly, едва ли
harm, вред
harmful, вредный
hat, шляпа
hate, ненавидеть
have, иметь
have, иметь
he, он
head, голова
headache, головная боль
headline, заголовок
health, здоровье
healthy, здоровый
hear, слышать
hearing, слушание
heart, сердце
heat, нагревать
heating, обогрев
heaven, небеса
heavily, тяжело
heavy, тяжелый
heel, каблук
height, высота
helicopter, вертолет
hell, ад
hello, привет
help, помощь
helpful, полезный
her, ее
here, здесь
hero, герой
hers, ее
herself, себя
hesitate, сомневаться
hey, привет
hi, привет
hide, скрывать
high, высокий
highlight, выделять
highly, высоко
hill, холм
him, ему
himself, сам
hire, нанимать
his, его
historic, исторический
historical, исторический
history, история
hit, ударять
hobby, хобби
hockey, хоккей
hold, держать
hole, дыра
holiday, праздничный день
hollow, пустой
holy, святой
home, дом
homework, домашнее задание
honest, честный
honour, честь
hope, надеяться
horrible, ужасный
horror, ужас
horse, лошадь
hospital, больница
host, хозяин
hot, горячий
hotel, отель
hour, час
house, дом
household, семья
housing, жилье
how, как
however, однако
huge, огромный
human, человек
humorous, юмористический
humour, юмор
hundred, сто
hungry, голодный
hunt, охота
hunting, охота
hurricane,ураган
hurry, торопиться
hurt, повредить
husband, муж
I, я
ice, лед
ice, лед
idea, идея
ideal, идеальный
identify, идентифицировать
identity, личность
if, если
ignore, игнорировать
ill, больной
illegal, незаконный
illness, болезнь
illustrate, проиллюстрировать
illustration, иллюстрация
image, изображение
imaginary, воображаемый
imagination, воображение
imagine, представлять себе
immediate, немедленный
immediately, немедленно
immigrant, иммигрант
impact, влияние
impatient, нетерпеливый
imply, подразумевать
import, импорт
importance, важность
important, важный
impose, навязывать
impossible, невозможный
impress, произвести впечатление
impressed, впечатленный
impression, впечатление
impressive, впечатляющий
improve, улучшать
improvement, улучшение
in, в
inch, дюйм
incident, инцидент
include, включать
included, включено
including, включая
income, доход
increase, увеличивать
increasingly, все больше и больше
incredible, невероятный
incredibly, невероятно
indeed, действительно
independent, независимый
indicate, указывать
indirect, косвенный
individual, индивидуальный
indoor, в помещении
indoors, в помещении
industrial, промышленный
industry, промышленность
infection, инфекция
influence, влияние
inform, информировать
informal, неофициальный
information, информация
ingredient, ингредиент
initial, исходный
initially, изначально
initiative, инициатива
injure, ранить
injured, раненый
injury, рана
inner,внутренний
innocent, невиновный
insect, насекомое
inside, внутри
insight, понимание
insist, настаивать
inspire, вдохновлять
install, установить
instance, пример
instead, вместо
institute, институт
institution, учреждение
instruction, инструкция
instructor, инструктор
instrument, инструмент
insurance, страхование
intelligence, интеллект
intelligent, разумный
intend, намереваться
intended, намеревался
intense, интенсивный
intention, намерение
interest, интерес
interested, заинтересованный
interesting, интересный
internal, внутренний
international, международный
internet, интернет
interpret, интерпретировать
interrupt, прерывать
interview, интервью
into, в
introduce, представлять
introduction, введение
invent, изобретать
invention, изобретение
invest, инвестировать
investigate, расследовать
investigation, расследование
investment, инвестиции
invitation, приглашение
invite, приглашать
involve, вовлекать
involved, вовлеченный
iron, железо
island, остров
issue, проблема
IT, ЭТО
it, это
item, элемент
its, его
itself, сам по себе
jacket, куртка
jam, варенье
January, январь
jazz, джаз
jeans, джинсы
jewellery, ювелирные изделия
job, работа
join, присоединиться
joke, шутить
journal, журнал
journalist, журналист
journey, путешествие
joy, радость
judge, судить
judgement, суждение
juice, сок
July, Июль
jump, прыжок
June, Июнь
junior, младший
just,только
justice, справедливость
justify, оправдывать
keen, увлеченный
keep, держать
key, ключ
keyboard, клавиатура
kick, пинать
kid, ребенок
kill, убийство
killing, убийство
kilometre, километр
kind, добрый
kind, добрый
king, король
kiss, целовать
kitchen, кухня
knee, колено
knife, нож
knock, стук
know, знать
knowledge, знание
lab, лаборатория
label, этикетка
laboratory, лаборатория
labour, труд
lack, недостаток
lady, леди
lake, озеро
lamp, лампа
land, земля
landscape, пейзаж
language, язык
laptop, ноутбук
large, большой
largely, в значительной степени
last, последний
last, последний
late, поздно
later, позже
latest, последний
laugh, смех
laughter, смех
launch, запуск
law, закон
lawyer, адвокат
lay, класть
layer, слой
lazy, ленивый
lead, вести
leader, лидер
leadership, лидерство
leading, ведущий
leaf, лист
league, лига
lean, наклонять
learn, учиться
learning, обучение
least, наименее
leather, кожа
leave, оставлять
lecture, лекция
left, левый
leg, нога
legal, юридический
leisure, досуг
lemon, лимон
lend, одалживать
length, длина
less, меньше
lesson, урок
let, позволять
letter, письмо
level, уровень
library, библиотека
licence, лицензия
lie, ложь
lie, ложь
life, жизнь
lifestyle, образ жизни
lift, поднимать
light, свет
adj., прил.
light, свет
like, нравиться
like, нравиться
n., н.
likely, вероятный
limit,предел
limited, ограниченный
line, линия
link, связь
lion, лев
lip, губа
liquid, жидкость
list, список
listen, слушать
listener, слушатель
literature, литература
little, маленький
live, жить
live, жить
lively, живой
living, жизнь
load, нагрузка
loan, заем
local, местный
locate, найти
located, расположен
location, расположение
lock, замок
logical, логичный
lonely, одинокий
long, длинный
long-term, долгосрочный
look, смотреть
loose, свободный
lord, господин
lorry, грузовик
lose, терять
loss, потеря
lost, потерянный
lot, много
loud, громкий
loudly, громко
love, любовь
lovely, прекрасный
low, низкий
lower, ниже
luck, удача
lucky, удачливый
lunch, обед
lung, легкое
luxury, роскошь
machine, машина
mad, безумный
magazine, журнал
magic, магия
mail, почта
main, основной
mainly, в основном
maintain, поддерживать
major, главный
majority, большинство
make, делать
male, мужской
mall, торговый центр
man, мужчина
manage, управлять
management, управление
manager, менеджер
manner, манера
many, много
map, карта
March, Маршировать
mark, отметка
market, рынок
marketing, маркетинг
marriage, свадьба
married, женатый
marry, жениться
mass, масса
massive, массивный
master, владелец
match, соответствовать
matching, соответствие
material, материал
mathematics, математика
maths, математика
matter, иметь значение
maximum, максимум
May,Может
may, может
maybe, может быть
me, мне
meal, еда
mean, иметь в виду
meaning, значение
means, означает
meanwhile, тем временем
measure, мера
measurement, измерение
meat, мясо
media, СМИ
medical, медицинский
medicine, лекарство
medium, середина
meet, встретиться
meeting, встреча
melt, таять
member, член
memory, память
mental, умственный
mention, упомянуть
menu, меню
mess, беспорядок
message, сообщение
metal, металл
method, метод
metre, метр
middle, середина
midnight, полночь
might, мощь
mild, мягкий
mile, миля
military, военный
milk, молоко
million, миллион
mind, разум
mine, мой
mine, мой
mineral, минерал
minimum, минимум
minister, министр
minor, незначительный
minority, меньшинство
minute, минута
mirror, зеркало
miss, скучать
missing, отсутствующий
mission, миссия
mistake, ошибка
mix, смешивание
mixed, смешанный
mixture, смесь
mobile, мобильный
model, модель
modern, современный
modify, изменить
moment, момент
Monday, Понедельник
money, деньги
monitor, монитор
monkey, обезьяна
month, месяц
mood, настроение
moon, луна
moral, моральный
more, более
morning, утро
most, большинство
mostly, по большей части
mother, мать
motor, мотор
motorcycle, мотоцикл
mount, устанавливать
mountain, гора
mouse, мышь
mouth, рот
move, двигаться
movement, движение
movie, фильм
much, много
mud,грязь
multiple, несколько
multiply, умножить
mum, мама
murder, убийство
muscle, мышца
museum, музей
music, музыка
musical, музыкальный
musician, музыкант
must, должен
my, мой
myself, сам
mysterious, таинственный
mystery, тайна
nail, ноготь
name, имя
narrative, повествование
narrow, узкий
nation, нация
national, национальный
native, родной
natural, естественный
naturally, естественно
nature, природа
near, около
nearly, около
neat, аккуратный
necessarily, обязательно
necessary, необходимый
neck, шея
need, нуждаться
needle, иголка
negative, отрицательный
neighbour, сосед
neighbourhood, район
neither, ни один
nerve, нерв
nervous, нервный
net, сеть
network, сеть
never, никогда
nevertheless, тем не менее
new, новый
news, новости
newspaper, газета
next, следующий
next, следующий
nice, хороший
night, ночь
nightmare, кошмар
nine, девять
nineteen, девятнадцать
ninety, девяносто
no, нет
no, нет
nobody, никто
noise, шум
noisy, шумный
none, никто
nor, ни
normal, нормальный
normally, обычно
north, север
northern, северный
nose, нос
not, нет
note, примечание
nothing, ничего
notice, уведомление
notion, понятие
novel, роман
November, ноябрь
now, сейчас
nowhere, нигде
nuclear, ядерный
number, число
numerous, многочисленные
nurse, медсестра
nut, орех
obey, подчиняться
object,объект
objective, цель
obligation, обязательство
observation, наблюдение
observe, наблюдать
obtain, получать
obvious, очевидный
obviously, очевидно
occasion, случай
occasionally, изредка
occur, происходить
ocean, океан
o’clock, час
October, октябрь
odd, странный
of, из
off, выключенный
offence, правонарушение
offend, обидеть
offensive, оскорбительный
offer, предложение
office, офис
officer, офицер
official, официальный
often, часто
oh, ой
oil, масло
OK, ХОРОШО
old, старый
old-fashioned, старомодный
on, на
once, один раз
one, один
onion, лук
online, онлайн
only, только
onto, на
open, открыть
opening, открытие
operate, работать
operation, операция
opinion, мнение
opponent, противник
opportunity, возможность
oppose, выступать против
opposed, выступил против
opposite, противоположный
opposition, оппозиция
option, вариант
or, или
orange, апельсин
order, заказ
ordinary, обычный
organ, орган
organization, организация
organize, организовать
organized, организованный
organizer, организатор
origin, источник
original, оригинальный
originally, изначально
other, другой
otherwise, в противном случае
ought, должен
our, наш
ours, наш
ourselves, мы сами
out, вне
outcome, исход
outdoor, на открытом воздухе
outdoors, на открытом воздухе
outer, внешний
outline, контур
outside, снаружи
A, А
oven, печь
over, над
overall,общий
owe, быть должным
own, собственный
owner, владелец
pace, шаг
pack, пакет
package, упаковка
page, страница
pain, боль
painful, болезненный
paint, краска
painter, художник
painting, рисование
pair, пара
palace, дворец
pale, бледный
pan, кастрюля
panel, панель
pants, брюки
paper, бумага
paragraph, абзац
parent, родитель
park, парк
parking, стоянка
parliament, парламент
part, часть
participant, участник
participate, участвовать
particular, особый
particularly, особенно
partly, частично
partner, партнер
party, вечеринка
